Duration;model;test SEM;test error;train SEM;train error
421ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor', AdaBoostRegressor(estimator=Lasso()))])";0.004720463;0.26727621;0.001584156;0.263848712
0.6s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor', BaggingRegressor(estimator=ElasticNet()))])";0.00459611;0.267403514;0.001653428;0.263518272
399ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=LassoLars()))])";0.005645425;0.267707794;0.001805191;0.263936307
292ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('elasticnet', ElasticNet())])";0.005739369;0.268341291;0.002028873;0.263675854
327ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('lassolars', LassoLars())])";0.006009766;0.268997814;0.002273326;0.263596592
0.6s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor', BaggingRegressor(estimator=Lasso()))])";0.005739208;0.269172632;0.002049081;0.263977843
343ms;Pipeline(steps=[('standardscaler', StandardScaler()), ('lasso', Lasso())]);0.006636705;0.270846903;0.002340494;0.263623587
24.0min;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=TheilSenRegressor()))])";0.015878611;0.279443267;0.012437446;0.264580003
17.0s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('theilsenregressor', TheilSenRegressor())])";0.014821139;0.294749525;0.013493768;0.288026037
1.3s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('ransacregressor', RANSACRegressor())])";0.03496343;0.307811034;0.066587998;0.324350156
2.8min;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=KernelRidge()))])";0.007691274;0.658875627;0.002274692;0.647042326
43.6s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=KernelRidge()))])";0.010427976;0.664728029;0.00238784;0.648564806
25.8s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('kernelridge', KernelRidge())])";0.007668407;0.667838227;0.00197489;0.646616144
1.5s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor', AdaBoostRegressor(estimator=Lars()))])";472.472.438.740.734;131.420.887.372.618;558.581.822.959.539;150.965.504.410.261
324ms;Pipeline(steps=[('standardscaler', StandardScaler()), ('lars', Lars())]);191.756.905.901.027;491.869.530.674.278;19.462.398.742.522;483.498.566.335.229
1.3s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor', BaggingRegressor(estimator=Lars()))])";12.814.129.654.145;145.974.014.021.177;173.729.510.326.579;193.440.159.621.451
